date,peso_to_kWh,temperature
2021-06,9.45,32
2021-07,8.77,32
2021-08,8.77,32
2021-09,10.64,33
2021-10,8.8,31
2021-11,9.11,30
2021-12,9.11,32
2022-01,8.99,27
2022-02,11.52,30
2022-03,8.99,33
2022-04,9.55,33
2022-05,10.55,30
2022-06,11.11,33
2022-07,11.64,32
2022-08,13.29,31
2022-09,13.01,31
2022-10,10.8,32
2022-11,10.22,33
2022-12,12.63,31
2023-01,12.45,31
2023-02,11.52,29
2023-03,11.14,32
2023-04,11.1,32
2023-05,10.04,34
2023-06,9.79,32
2023-07,8.75,32
2023-08,8.75,31
2023-09,9.45,31
2023-10,9.21,32
2023-11,9.12,32
2023-12,8.74,33
2024-01,8.82,31
2024-02,9.25,33
2024-03,8.99,33
2024-04,9.13,35
2024-05,10.76,35
2024-06,7.93,32
2024-07,10.89,31
2024-08,10.62,32
2024-09,9.47,32
2024-10,9.11,33
2024-11,9.2,34
2024-12,9.2,30
2025-01,8.99,27
2025-02,8.4,31
2025-03,8.6,33
2025-04,9.55,34
2025-05,9.1,33
2025-06,8.68,30
2025-07,8.77,32
2025-08,9.07,31
2025-09,10.64,31
2025-10,9.15,32
2025-11,10.06,32
